reference,base_prediction
hai weh, hai weh
ah makanan bagi aku macam struggle kan, makanan bagi aku macam sidekiss kan
makanan yang sedap kat Malaysia ni tu, makanan yang sedap kat malaysia ni tu
kenapa, kenapa
dia punya dia punya, dia punya
rasa dia macam mana, rasa dia macam mana
ah mesti sedap kan, haa masih sedap eh
dia punya bahan-bahan nak buat, dia punya bahanbahan nak buat nasi
nasi lemak tu macam mana, lemak tu macam mana
lepas tu, lepas tu
um sedap nya, hmm sedapnya
ah dia dia punya macam, dia punya macam mana
hiasan dia macam mana pula, hiasan dia macam mana pula
wow, wow
so, so
asal mak asal nasi lemak ni daripada mana, asal nasi lemak ni daripada mana
Malaysia, reshi
oh, err
wow sedap nya, oh sedap ni
dia punya, dia punya
dia punya bahan-bahan nak buat sambal pula, dia punya bahanbahan nak buat sambal pula
ah, hmm
urm, hmm
kalau, kalau
ah okey kita makanan-makanan lain pula, okay kita makan dan makan lain pula
[UNK] ah kejap makanan lain, makanan lain
ah bagi kau lah apa yang sedap, bagi engkau lah apa yang sedap
oh nasi goreng lepas itu, oh instagram lepas tu
contoh dia, contoh dia
dia punya bahan-bahan nak buat nasi goreng itu apa, dia punya bahanbahan nak buat nasi goreng tu apa
ah okey, okey
so kalau kalau aku lah kan aku lagi suggest kan, so kalau aku lah kan aku lagi suggest kan
makan laksa lah laksa kan sedap, makan laksa lah laksa kan sedap
kalau aku aku lagi suka laksa Laksa Penang, kalau aku aku lagi suka laksa pineng
dia, terima kasih kerana menonton
ah dia punya mee tu daripada tepung, dia punya mie tu daripada tepung
daripada tepung beras, lepas dia tepung beras
beras lepas tu dia punya kuah tu pakai ikan, lepas tu dia punya kuah tu pakai ikan
ah [UNK] orang pakai ikan tongkol ikan tenggiri, pakaikan tongkol jatuh kiri
ah lepas tu kalau nak, haa lepas tu kalau nak
hiasan hiasan dia bahan bahan dia, hiasan hiasan ni bahanbahan dia
kau boleh lah letak telur rebus, kau boleh letak telur rebus
kau letak cili padi lepas tu letak timun, kalau tak cili padi pasal tak timun
ni sedap, ini sedap
okey bahan bahan lain, okey bahanbahan lain
kalau nak buat dia punya kuah tu, kalau nak buat kuah tu
kau mak kau boleh ah ada ikan ikan, kau boleh adik ikan
boleh lah pilih mana mana Ikan Tongkol Ikan Tenggiri, bolehlah pilih memanai ikat tunggu ikan teori dan
macam macam lagi ah ada lagi banyak, macammacam lagi lah ada lagi banyak
tapi aku tak ingat, riak pengen
lepas tu ada letak cili, lepas tu ada letak sini
ada letak asam rebus, ada letak asam rebus
ada letak, adalah tak
Bunga Kantan, moga kantan
sedap tu, dabduh
ha ah, haahaa
lepas tu, lepas tu
kalau, kalau
dia punya [UNK] cara makan dia kau tinggal gaul-gaul je lah, dia punya macam cara makan dia kot tinggal gaulgaul je lah
tapi laksa ni ada dua tau lagi satu laksa yang Laksa Johor macam aku kurang minat, tapi laksa ni ada dua tau lagi satu laksa yang laksa johor macam aku kurang minat
ah laksa laksa dia dia punya mi tu dia pakai spaghetti punya, laksa je dia punya mie tu dia pakai spaghetti punya
lepas tu dia punya kuah lebih [UNK] macam lebih pekat lah, lepas tu dia punya kuah lebih pekat lah
em, hmm
tak lah banyak sangat cuma dia punya beza mi dengan kuah je, taklah banyak sangat cuma dia punya beza mie dengan kuah je
kuah laksa Laksa Penang, laksa pening
dia macam cair-cair sikit kalau kuah Laksa Johor dia pekat, dia macam caircair sikit kalau kuat laksa johor dia pekai
lepas tu mi dia orang kan lain-lain mi dia orang kalau Laksa Penang pakai ah, lepas tu mie diorang kan lainlain mie diorang kalau tak sepinden pakai aa
tepung beras kalau Laksa Johor pakai spaghetti, tepung beras kalau laksa johor pakai spaghetti
sama je dia pakai telur ah cili, sama je dia pakai telur cili
lepas tu pakai timun, bersama pakai timun
lepas tu letak salad-salad sikit lah, maksudnya tak salahsalah sikit lah
[UNK] banyak betul, makan lepas lembas uff banyak betul
em, hmm
ada, ada
lontong lontong, lentung lentung
lontong, lontong
ya ya ya kalau lontong kering tu, ya kalau lontong kering tu
ah dia kita ah goreng dia lah, kita goreng dia lah
lain kalau lontong kering tu goreng gor-goreng dia, kalau lontong kering tu gorenggoreng dia
kalau kalau laksa yang berkuah tu dia ada kuah dia kuah dia kuah, kalau laksa yang berkuah tu dia ada kuara kuara kuah
kuah lemak kot tak silap, kuala mak kot tak silap
lepas tu, pastu
dia ada letak bahan macam-macam bahan lah dalam kuah dalam kuah dia tu, dia ada letak macammacam bahan lah dalam kuah dia tu
ah ada letak, ada letak
em, hmm
oh dia letak, ya jadi
serbuk kunyit kot tak silap, sabuk kunyit kau tak silap
letak serbuk kunyit, terima kasih
lepas tu, pesul
letak santan, tak santan
er umh, ha ha
hm, hmm
wah, wah
wah yang mi goreng mi goreng basah kan sedapnya, wah yang mie goreng basah kan sedapnya
mihun goreng, mi hun goreng
dia punya bahan-bahan dia, bahanbahan dia
em, hmm
oh, wah
dia punya cara-cara nak masak dia macam mana pula, dia punya caracara nak masak dia macam mana pulak
ah, oh
dia punya, dia punya
cara-cara hidang dia macam gitu je lah, caracara hidang dia macam gitu je lah
eh, eh
um, hmm
ah, oh
sedapnya, kita
lepas tu contoh makanan lain, contoh makanan lain
ah, oh
rendang, rendang
ren, terima kasih kerana menonton
dia bukan makan rendang tu time Hari Raya je ke, dia bukan makan rendang tu time hari raya je ke
em lepas tu and then, lepas tu and then
hm, hmm
lepas tu makanan-makanan lain yang kau suggest kan, makananmakanan lain yang kau saguskan
mi kari, mika hari
mi kari tu macam mana, mika hari tu macam mana
yang spaghetti, mesti pergi ke t
