reference,base_prediction
hai weh, hai wee
ah makanan bagi aku macam struggle kan, makanan bagi aku macam sagas kan
makanan yang sedap kat Malaysia ni tu, makanan yang setahuk nasi ini doh
kenapa, kenapa
dia punya dia punya, dia punya dia punya
rasa dia macam mana, ras ini macam mana
ah mesti sedap kan, ah mesti sedap eh
dia punya bahan-bahan nak buat, jemput yang bahanbahan nak buat nasib
nasi lemak tu macam mana, lemak tu macam mana
lepas tu, bistul
um sedap nya, mmm sedapnya
ah dia dia punya macam, dia punya pacar
hiasan dia macam mana pula, ia sangat sedap
wow, wow
so, so
asal mak asal nasi lemak ni daripada mana, asal nasi lemak ni daripada mana
Malaysia, mesti
oh, uh
wow sedap nya, oh sedap
dia punya, dia punya
dia punya bahan-bahan nak buat sambal pula, kita punya bahanbahan nak buat sambal dulu
ah, hmm
urm, hmm
kalau, hello
ah okey kita makanan-makanan lain pula, okey kita makananmakanan dahim tak
[UNK] ah kejap makanan lain, seahhh makanan lain
ah bagi kau lah apa yang sedap, bagi kau kalau apa yang sedap
oh nasi goreng lepas itu, oh ada segreng pasal tu
contoh dia, contohnya
dia punya bahan-bahan nak buat nasi goreng itu apa, dia punya bahanbahan nak beranasi goreng itu apa
ah okey, okey
so kalau kalau aku lah kan aku lagi suggest kan, kalau aku lagi saya akan menyebabkan
makan laksa lah laksa kan sedap, makan laksa lah laksa ke sedap
kalau aku aku lagi suka laksa Laksa Penang, kalau aku lagi suka nak sepineng
dia, reu
ah dia punya mee tu daripada tepung, jika ada mie itu jika ada tepung
daripada tepung beras, daripada tepung buras
beras lepas tu dia punya kuah tu pakai ikan, pemberas sebab itu dia punya kuat itu pakai ikan
ah [UNK] orang pakai ikan tongkol ikan tenggiri, tungkol kiatang giri
ah lepas tu kalau nak, lepas tu kalana
hiasan hiasan dia bahan bahan dia, yasa ni buatin bahan dia
kau boleh lah letak telur rebus, kau boleh lalut telur abus
kau letak cili padi lepas tu letak timun, tak cili badi pasul tak timon
ni sedap, ini sedap
okey bahan bahan lain, okey bambang nak hin
kalau nak buat dia punya kuah tu, kalau nak buat dia punya kuat tu
kau mak kau boleh ah ada ikan ikan, kau boleh ada ikan
boleh lah pilih mana mana Ikan Tongkol Ikan Tenggiri, bila perempuanperempuan ini tak boleh diikahtunggu ikanikan sendiri dan
macam macam lagi ah ada lagi banyak, macammacam lagi ada lagi banyak
tapi aku tak ingat, begitu terang
lepas tu ada letak cili, so ada ruta di sini
ada letak asam rebus, ada tak asamur boss
ada letak, adulata
Bunga Kantan, buangkan kantan
sedap tu, dapuh
ha ah, uh oh
lepas tu, basta
kalau, hello
dia punya [UNK] cara makan dia kau tinggal gaul-gaul je lah, jepun je jam cari makan dia kau tinggal gawagawa je lah
tapi laksa ni ada dua tau lagi satu laksa yang Laksa Johor macam aku kurang minat, abilak senyak ada dua tau lagi satu laksa yang laksa johoh macam aku kurang minat
ah laksa laksa dia dia punya mi tu dia pakai spaghetti punya, laksa dia punya mi itu dia pakai spaghetti punya
lepas tu dia punya kuah lebih [UNK] macam lebih pekat lah, pasal dia punya kuah lebih ke macam lebih pekat lah
em, hmm
tak lah banyak sangat cuma dia punya beza mi dengan kuah je, tak banyak sangat cuma dia punya bezah mee dengan kuah je
kuah laksa Laksa Penang, kua laksa pindai
dia macam cair-cair sikit kalau kuah Laksa Johor dia pekat, dengan macam caricari sikit kalau kuat nak sejuh dia pekat
lepas tu mi dia orang kan lain-lain mi dia orang kalau Laksa Penang pakai ah, mereka akan lainlain mereka akan tak sepinai pakai
tepung beras kalau Laksa Johor pakai spaghetti, tapung beras kalau tak sejuh pakai spaghetti
sama je dia pakai telur ah cili, sama saja dia pakai telur cili
lepas tu pakai timun, besok pakai timon
lepas tu letak salad-salad sikit lah, asal lu tak salahsalat sikit lah
[UNK] banyak betul, loh kainnya panaspanas uf banyak tuh
em, hmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm
ada, adoo
lontong lontong, lentung lentung
lontong, untung
ya ya ya kalau lontong kering tu, ya kalau betulbetul
ah dia kita ah goreng dia lah, kita gunakan dia
lain kalau lontong kering tu goreng gor-goreng dia, kalau lantuk kering gorenggoreng dia
kalau kalau laksa yang berkuah tu dia ada kuah dia kuah dia kuah, kalau nak kisah yang berkuah dia ada kuarakuara kuah
kuah lemak kot tak silap, kuala makkut tak silap
lepas tu, bersitu
dia ada letak bahan macam-macam bahan lah dalam kuah dalam kuah dia tu, dia ada ada macammacam bahana dalam kuah dalam kuah dia tu
ah ada letak, ah i dont like the
em, hmm
oh dia letak, hmm ia dah terlalu
serbuk kunyit kot tak silap, sabut kunyit atau tak silap
letak serbuk kunyit, tengoknya
lepas tu, faisal
letak santan, dah santai
er umh, uhuh
hm, hmm
wah, wah
wah yang mi goreng mi goreng basah kan sedapnya, wah ia megoreng basah kan setidaknya
mihun goreng, mirim goreng
dia punya bahan-bahan dia, dia punya bahanbahan dia
em, hmm
oh, wah
dia punya cara-cara nak masak dia macam mana pula, dia punya cara nak masak dia macam mana pula
ah, aaaaah
dia punya, nenek
cara-cara hidang dia macam gitu je lah, cara cara hidang dia macam gitu je lah
eh, eh
