reference,whisper_small_prediction_3,whisper_large_v3_prediction_3,whisper_small_prediction_20,whisper_large_v3_prediction_20,whisper_small_process_time_3,whisper_large_v3_process_time_3,whisper_small_process_time_20,whisper_large_v3_process_time_20
hai weh,hai weh,hai weh,hai weh,hai weh,0.9060962200164796,1.893994092941284,3.5531210899353027,4.771177530288696
ah makanan bagi aku macam struggle kan,ah makanan bagi aku macam struggles kan,ah makanan bagi aku macam sages kan,ah makanan bagi aku macam struggle kan,ah makanan bagi aku macam suggest kan,1.6952219009399414,2.9670395851135254,1.3818109035491943,2.652174711227417
makanan yang sedap kat Malaysia ni tu,makanan yang sedap kat Malaysia ni tu,makanan yang setiap orang Malaysia ni tu,makanan yang sedap kat Malaysia ni tu,makanan yang sedap kat Malaysia ni tu,1.3644640445709229,2.9076380729675293,1.3145968914031982,2.6438469886779785
kenapa,kenapa,kenapa,kenapa,kenapa,0.571702241897583,1.163654327392578,0.5519742965698242,1.1546738147735596
dia punya dia punya,dia punya dia punya,dia punya dia punya,dia punya dia punya,dia punya dia punya,1.0724356174468994,2.483803987503052,0.8820095062255859,1.7503821849822998
rasa dia macam mana,rasa dia macam mana,rasa dia macam mana,rasa dia macam mana,rasa dia macam mana,1.1820719242095947,1.8323431015014648,1.4044771194458008,2.1427249908447266
ah mesti sedap kan,ah mesti sedap kan,ha maksud sedap kan,ah mesti sedap kan,ah mesti sedap kan,1.010728359222412,2.018182277679444,1.323288917541504,2.5086374282836914
dia punya bahan-bahan nak buat,dia punya bahan-bahan nak buat,dia punya bahan-bahan nak buat,dia punya bahan-bahan nak buat,dia punya bahan-bahan nak buat,1.4775490760803225,2.9655025005340576,2.8971424102783203,2.812728881835937
nasi lemak tu macam mana,masak lemak tu macam mana,lemak tu macam mana,nasi lemak tu macam mana,masak lemak tu macam mana,1.4302711486816406,2.542219400405884,1.4973139762878418,2.158531188964844
lepas tu,lepas tu,lepas tu,as tu,lepas tu,0.745826005935669,2.34039568901062,0.7929790019989014,1.2724978923797607
um sedap nya,hm sedapnya,oh setapnya,um sedap nya,hm sedapnya,1.7803142070770264,2.448002338409424,1.0595660209655762,1.5334258079528809
ah dia dia punya macam,ha dia dia punya macam,ah dia dia punya macam,ah dia dia punya macam,ha dia dia punya macam,0.9362995624542236,1.803537368774414,1.2903156280517578,1.722393035888672
hiasan dia macam mana pula,hiasan dia macam mana pula,hiasan dia macam mana pula,hiasan dia macam mana pula,hiasan dia macam mana pula,1.6310160160064695,3.402899980545044,1.820664644241333,3.3011674880981445
wow,wow,wow,wow,wow,0.4799733161926269,0.9328219890594482,0.6948862075805664,0.9945166110992432
so,so,so,so,so,0.4360382556915283,0.99582839012146,0.6897468566894531,0.8685169219970703
asal mak asal nasi lemak ni daripada mana,asal mak asal nasi lemak ni daripada mana,asal mak asal nasi lemak ni daripada mana,asal mak asal nasi lemak ni daripada mana,asal mak asal nasi lemak ni daripada mana,1.93794846534729,3.838645696640015,3.4850316047668457,3.6665308475494394
Malaysia,M Malaysia, Malaysia,Malaysia,Malaysia,0.6121313571929932,1.181520700454712,1.3962388038635254,1.5536627769470217
oh,ah,ah,ah,ah,0.5990378856658936,1.2559645175933838,0.5809211730957031,0.8892462253570557
wow sedap nya,wow sedap nya,wow sedapnya,wow sedap nya,wow sedapnya,1.1236059665679932,1.607630968093872,1.0619676113128662,1.526017189025879
dia punya,dia punya,dia punya,dia punya,dia punya,0.6526331901550293,1.3764252662658691,0.9414048194885254,1.5097978115081787
dia punya bahan-bahan nak buat sambal pula,dia punya bahan-bahan nak buat sambal pula,dia punya bahan-bahan nak buat sambal pula,dia punya bahan-bahan nak buat sambal pula,dia punya bahan-bahan nak buat sambal pula,1.921788454055786,3.8911499977111816,2.415247201919556,4.459415912628174
ah,ah,ah,ah,ah,0.4660282135009765,1.18867826461792,0.8048429489135742,0.931671142578125
urm,hm,em,hm,um,0.5769603252410889,1.27388596534729,0.6528985500335693,0.864138126373291
kalau,kalau,kalau,kalau,kalau,0.7876729965209961,1.1587297916412354,0.7763206958770752,1.4682819843292236
ah okey kita makanan-makanan lain pula,ah okey kita makanan-makanan lain pula,ah okey kita makanan makanan lain pula,ah okey kita makanan-makanan lain pula,ah okey kita makanan makanan lain pula,1.6887342929840088,3.151774883270264,2.373328924179077,3.034105062484741
[UNK] ah kejap makanan lain,se-ah kejap makanan lain,se ah macam makanan lain,se- ah kejap makanan lain,se- ah sekejap makanan lain,1.3672921657562256,2.027024745941162,2.7502188682556152,3.078995943069458
ah bagi kau lah apa yang sedap,ah bagi kau lah apa yang sedap,ah bagi engkau lah apa yang sedap,ah bagi kau lah apa yang sedap,ah bagi engkau lah apa yang sedap,1.6358697414398191,4.134750843048096,3.391663312911988,3.838027000427246
oh nasi goreng lepas itu,oh nasi goreng lepas tu,oh rasa kurang lepas tu,oh nasi goreng lepas itu,oh nasi goreng lepas tu,1.3721539974212646,2.2568447589874268,2.2045822143554688,2.621798038482666
contoh dia,contoh dia,contoh dia,contoh dia,contoh dia,0.6622509956359863,1.3654954433441162,0.9842181205749512,1.3432905673980713
dia punya bahan-bahan nak buat nasi goreng itu apa,dia punya bahan-bahan nak buat nasi goreng tu apa,dia punya bahan-bahan nak buat nasi goreng tu apa,dia punya bahan-bahan nak buat nasi goreng itu apa,dia punya bahan-bahan nak buat nasi goreng tu apa,2.2829859256744385,7.013452529907227,3.301793336868286,4.301005125045776
ah okey,ah okey,ah okey,ah okey,ah okey,0.6901683807373047,1.3954589366912842,0.9426839351654052,1.7113525867462158
so kalau kalau aku lah kan aku lagi suggest kan,so kalau kalau aku lah kan aku lagi suggest kan,so kalau kalau aku lah kan aku lagi syaraskan,so kalau kalau aku lah kan aku lagi suggest kan,so kalau kalau aku lah kan aku lagi suggestkan,1.499835968017578,3.395024299621582,1.5098624229431152,3.492905855178833
makan laksa lah laksa kan sedap,makan laksa lah laksa kan sedap,makan laksa lah laksa kan sedap,makan laksa lah laksa kan sedap,makan laksa lah laksa kan sedap,1.8699944019317627,4.4961700439453125,1.9779598712921145,3.2823665142059326
kalau aku aku lagi suka laksa Laksa Penang,kalau aku aku lagi suka laksa Laksa Penang,kalau aku aku lagi suka laksa laksa pening,kalau aku aku lagi suka laksa Laksa Penang,kalau aku aku lagi suka laksa Laksa Penang,1.9835574626922607,3.8282124996185294,2.6493184566497803,3.6753339767456055
dia,dia,dia,dia,dia,0.5640890598297119,1.1750550270080566,0.56166672706604,1.1243503093719482
ah dia punya mee tu daripada tepung,ah dia punya mee tu daripada tepung,ah dia punya mie tu daripada tepung,ah dia punya mee tu daripada tepung,ha dia punya mi tu daripada tepung,1.5795466899871826,4.268297910690308,1.5699548721313477,3.9100918769836426
daripada tepung beras,daripada tepung beras,dia ada tepung beras,daripada tepung beras,daripada tepung beras,1.2474353313446045,2.4865622520446777,1.2079195976257324,2.6135873794555664
