reference,whisper_small_prediction,whisper_large_v3_prediction,whisper_small_process_time,whisper_large_v3_process_time
hai weh,hai weh,hai weh,0.9060962200164795,1.8939940929412842
ah makanan bagi aku macam struggle kan,ah makanan bagi aku macam struggles kan,ah makanan bagi aku macam sages kan,1.6952219009399414,2.9670395851135254
makanan yang sedap kat Malaysia ni tu,makanan yang sedap kat Malaysia ni tu,makanan yang setiap orang Malaysia ni tu,1.3644640445709229,2.9076380729675293
kenapa,kenapa,kenapa,0.571702241897583,1.1636543273925781
dia punya dia punya,dia punya dia punya,dia punya dia punya,1.0724356174468994,2.4838039875030518
rasa dia macam mana,rasa dia macam mana,rasa dia macam mana,1.1820719242095947,1.8323431015014648
ah mesti sedap kan,ah mesti sedap kan,ha maksud sedap kan,1.010728359222412,2.0181822776794434
dia punya bahan-bahan nak buat,dia punya bahan-bahan nak buat,dia punya bahan-bahan nak buat,1.4775490760803223,2.9655025005340576
nasi lemak tu macam mana,masak lemak tu macam mana,lemak tu macam mana,1.4302711486816406,2.542219400405884
lepas tu,lepas tu,lepas tu,0.745826005935669,2.34039568901062
um sedap nya,hm sedapnya,oh setapnya,1.7803142070770264,2.448002338409424
ah dia dia punya macam,ha dia dia punya macam,ah dia dia punya macam,0.9362995624542236,1.803537368774414
hiasan dia macam mana pula,hiasan dia macam mana pula,hiasan dia macam mana pula,1.6310160160064697,3.402899980545044
wow,wow,wow,0.47997331619262695,0.9328219890594482
so,so,so,0.4360382556915283,0.99582839012146
asal mak asal nasi lemak ni daripada mana,asal mak asal nasi lemak ni daripada mana,asal mak asal nasi lemak ni daripada mana,1.93794846534729,3.8386456966400146
Malaysia,M Malaysia, Malaysia,0.6121313571929932,1.181520700454712
oh,ah,ah,0.5990378856658936,1.2559645175933838
wow sedap nya,wow sedap nya,wow sedapnya,1.1236059665679932,1.607630968093872
dia punya,dia punya,dia punya,0.6526331901550293,1.3764252662658691
dia punya bahan-bahan nak buat sambal pula,dia punya bahan-bahan nak buat sambal pula,dia punya bahan-bahan nak buat sambal pula,1.9217884540557861,3.8911499977111816
ah,ah,ah,0.46602821350097656,1.18867826461792
urm,hm,em,0.5769603252410889,1.27388596534729
kalau,kalau,kalau,0.7876729965209961,1.1587297916412354
ah okey kita makanan-makanan lain pula,ah okey kita makanan-makanan lain pula,ah okey kita makanan makanan lain pula,1.6887342929840088,3.1517748832702637
[UNK] ah kejap makanan lain,se-ah kejap makanan lain,se ah macam makanan lain,1.3672921657562256,2.027024745941162
ah bagi kau lah apa yang sedap,ah bagi kau lah apa yang sedap,ah bagi engkau lah apa yang sedap,1.6358697414398193,4.134750843048096
oh nasi goreng lepas itu,oh nasi goreng lepas tu,oh rasa kurang lepas tu,1.3721539974212646,2.2568447589874268
contoh dia,contoh dia,contoh dia,0.6622509956359863,1.3654954433441162
dia punya bahan-bahan nak buat nasi goreng itu apa,dia punya bahan-bahan nak buat nasi goreng tu apa,dia punya bahan-bahan nak buat nasi goreng tu apa,2.2829859256744385,7.013452529907227
ah okey,ah okey,ah okey,0.6901683807373047,1.3954589366912842
so kalau kalau aku lah kan aku lagi suggest kan,so kalau kalau aku lah kan aku lagi suggest kan,so kalau kalau aku lah kan aku lagi syaraskan,1.4998359680175781,3.395024299621582
makan laksa lah laksa kan sedap,makan laksa lah laksa kan sedap,makan laksa lah laksa kan sedap,1.8699944019317627,4.4961700439453125
kalau aku aku lagi suka laksa Laksa Penang,kalau aku aku lagi suka laksa Laksa Penang,kalau aku aku lagi suka laksa laksa pening,1.9835574626922607,3.8282124996185303
dia,dia,dia,0.5640890598297119,1.1750550270080566
