reference,whisper_large_v3_prediction,whisper_large_v3_process_time
hai weh,hai weh,4.771177530288696
ah makanan bagi aku macam struggle kan,ah makanan bagi aku macam suggest kan,2.652174711227417
makanan yang sedap kat Malaysia ni tu,makanan yang sedap kat Malaysia ni tu,2.6438469886779785
kenapa,kenapa,1.1546738147735596
dia punya dia punya,dia punya dia punya,1.7503821849822998
rasa dia macam mana,rasa dia macam mana,2.1427249908447266
ah mesti sedap kan,ah mesti sedap kan,2.5086374282836914
dia punya bahan-bahan nak buat,dia punya bahan-bahan nak buat,2.8127288818359375
nasi lemak tu macam mana,masak lemak tu macam mana,2.1585311889648438
lepas tu,lepas tu,1.2724978923797607
um sedap nya,hm sedapnya,1.5334258079528809
ah dia dia punya macam,ha dia dia punya macam,1.7223930358886719
hiasan dia macam mana pula,hiasan dia macam mana pula,3.3011674880981445
wow,wow,0.9945166110992432
so,so,0.8685169219970703
asal mak asal nasi lemak ni daripada mana,asal mak asal nasi lemak ni daripada mana,3.6665308475494385
Malaysia,Malaysia,1.5536627769470215
oh,ah,0.8892462253570557
wow sedap nya,wow sedapnya,1.526017189025879
dia punya,dia punya,1.5097978115081787
dia punya bahan-bahan nak buat sambal pula,dia punya bahan-bahan nak buat sambal pula,4.459415912628174
ah,ah,0.931671142578125
urm,um,0.864138126373291
kalau,kalau,1.4682819843292236
ah okey kita makanan-makanan lain pula,ah okey kita makanan makanan lain pula,3.034105062484741
[UNK] ah kejap makanan lain,se- ah sekejap makanan lain,3.078995943069458
ah bagi kau lah apa yang sedap,ah bagi engkau lah apa yang sedap,3.838027000427246
oh nasi goreng lepas itu,oh nasi goreng lepas tu,2.621798038482666
contoh dia,contoh dia,1.3432905673980713
dia punya bahan-bahan nak buat nasi goreng itu apa,dia punya bahan-bahan nak buat nasi goreng tu apa,4.301005125045776
ah okey,ah okey,1.7113525867462158
so kalau kalau aku lah kan aku lagi suggest kan,so kalau kalau aku lah kan aku lagi suggestkan,3.492905855178833
makan laksa lah laksa kan sedap,makan laksa lah laksa kan sedap,3.2823665142059326
kalau aku aku lagi suka laksa Laksa Penang,kalau aku aku lagi suka laksa Laksa Penang,3.6753339767456055
dia,dia,1.1243503093719482
ah dia punya mee tu daripada tepung,ha dia punya mi tu daripada tepung,3.9100918769836426
daripada tepung beras,daripada tepung beras,2.6135873794555664
beras lepas tu dia punya kuah tu pakai ikan,beras lepas tu dia punya kuah tu pakai ikan,3.484036922454834
ah [UNK] orang pakai ikan tongkol ikan tenggiri,ah tong- orang pakai ikan tongkol jatung kiri,3.7128384113311768
ah lepas tu kalau nak,ha lepas tu kalau nak,2.3351004123687744
hiasan hiasan dia bahan bahan dia,hiasan hiasan ni bahan bahan dia,4.0569748878479
kau boleh lah letak telur rebus,kau boleh lah letak telur rebus,2.8392226696014404
kau letak cili padi lepas tu letak timun,kalau letak cili padi lepas tu letak timun,4.182514429092407
ni sedap,ni sedap,1.3738563060760498
okey bahan bahan lain,okey bahan-bahan lain,3.278978109359741
kalau nak buat dia punya kuah tu,kalau nak buat dia punya kuah tu,2.7116854190826416
kau mak kau boleh ah ada ikan ikan,kau mak kau boleh ah ada ikan ikan,3.0894598960876465
boleh lah pilih mana mana Ikan Tongkol Ikan Tenggiri,boleh lah pilih mana ikan tongkoh ikan teri dan,4.298165798187256
macam macam lagi ah ada lagi banyak,macam-macam lagi ah ada lagi banyak,6.880876302719116
tapi aku tak ingat,tapi aku tak ingat,2.9348437786102295
lepas tu ada letak cili,lepas tu ada letak cili,2.9199554920196533
ada letak asam rebus,ada letak asam rebus,2.181380271911621
ada letak,ada letak,1.7061128616333008
Bunga Kantan,Bunga Kantan,2.2668120861053467
sedap tu,sedap tu,1.3305389881134033
ha ah,ha ah,1.081552267074585
lepas tu,lepas tu,1.318702220916748
