reference,whisper_small_prediction,whisper_small_process_time
hai weh,hai weh,3.5531210899353027
ah makanan bagi aku macam struggle kan,ah makanan bagi aku macam struggle kan,1.3818109035491943
makanan yang sedap kat Malaysia ni tu,makanan yang sedap kat Malaysia ni tu,1.3145968914031982
kenapa,kenapa,0.5519742965698242
dia punya dia punya,dia punya dia punya,0.8820095062255859
rasa dia macam mana,rasa dia macam mana,1.4044771194458008
ah mesti sedap kan,ah mesti sedap kan,1.323288917541504
dia punya bahan-bahan nak buat,dia punya bahan-bahan nak buat,2.8971424102783203
nasi lemak tu macam mana,nasi lemak tu macam mana,1.4973139762878418
lepas tu,as tu,0.7929790019989014
um sedap nya,um sedap nya,1.0595660209655762
ah dia dia punya macam,ah dia dia punya macam,1.2903156280517578
hiasan dia macam mana pula,hiasan dia macam mana pula,1.820664644241333
wow,wow,0.6948862075805664
so,so,0.6897468566894531
asal mak asal nasi lemak ni daripada mana,asal mak asal nasi lemak ni daripada mana,3.4850316047668457
Malaysia,Malaysia,1.3962388038635254
oh,ah,0.5809211730957031
wow sedap nya,wow sedap nya,1.0619676113128662
dia punya,dia punya,0.9414048194885254
dia punya bahan-bahan nak buat sambal pula,dia punya bahan-bahan nak buat sambal pula,2.4152472019195557
ah,ah,0.8048429489135742
urm,hm,0.6528985500335693
kalau,kalau,0.7763206958770752
ah okey kita makanan-makanan lain pula,ah okey kita makanan-makanan lain pula,2.373328924179077
[UNK] ah kejap makanan lain,se- ah kejap makanan lain,2.7502188682556152
ah bagi kau lah apa yang sedap,ah bagi kau lah apa yang sedap,3.3916633129119873
oh nasi goreng lepas itu,oh nasi goreng lepas itu,2.2045822143554688
contoh dia,contoh dia,0.9842181205749512
dia punya bahan-bahan nak buat nasi goreng itu apa,dia punya bahan-bahan nak buat nasi goreng itu apa,3.301793336868286
ah okey,ah okey,0.9426839351654053
so kalau kalau aku lah kan aku lagi suggest kan,so kalau kalau aku lah kan aku lagi suggest kan,1.5098624229431152
makan laksa lah laksa kan sedap,makan laksa lah laksa kan sedap,1.9779598712921143
kalau aku aku lagi suka laksa Laksa Penang,kalau aku aku lagi suka laksa Laksa Penang,2.6493184566497803
dia,dia,0.56166672706604
ah dia punya mee tu daripada tepung,ah dia punya mee tu daripada tepung,1.5699548721313477
daripada tepung beras,daripada tepung beras,1.2079195976257324
beras lepas tu dia punya kuah tu pakai ikan,beras lepas tu dia punya kuah tu pakai ikan,1.7313861846923828
ah [UNK] orang pakai ikan tongkol ikan tenggiri,ah tong- orang pakai ikan tongkol ikan tenggiri,1.8582847118377686
ah lepas tu kalau nak,ah lepas tu kalau nak,0.9767251014709473
hiasan hiasan dia bahan bahan dia,hiasan hiasan dia bahan bahan dia,1.62131667137146
kau boleh lah letak telur rebus,kau boleh lah letak telur rebus,1.8513851165771484
kau letak cili padi lepas tu letak timun,kau letak cili padi lepas tu letak timun,3.549140691757202
ni sedap,ni sedap,0.6577432155609131
okey bahan bahan lain,okey bahan bahan lain,1.0536651611328125
kalau nak buat dia punya kuah tu,kalau nak buat dia punya kuah tu,1.31764554977417
kau mak kau boleh ah ada ikan ikan,kau mak kau boleh ah ada ikan ikan,1.544105052947998
boleh lah pilih mana mana Ikan Tongkol Ikan Tenggiri,boleh lah pilih mana mana Ikan Tongkol Ikan Tenggiri,2.306417226791382
macam macam lagi ah ada lagi banyak,macam macam lagi ah ada lagi banyak,1.2311978340148926
tapi aku tak ingat,tapi aku tak ingat,0.9847700595855713
lepas tu ada letak cili,lepas tu ada letak cili,1.576242446899414
ada letak asam rebus,ada letak asam rebus,1.577631950378418
ada letak,ada letak,0.8504064083099365
Bunga Kantan,Bunga Kantan,0.9064853191375732
sedap tu,sedap tu,0.6492209434509277
ha ah,ha ah,0.5278456211090088
lepas tu,lepas tu,0.624157190322876
kalau,kalau,0.548133373260498
dia punya [UNK] cara makan dia kau tinggal gaul-gaul je lah,dia punya car-cara makan dia kau tinggal gaul-gaul je lah,2.4270577430725098
tapi laksa ni ada dua tau lagi satu laksa yang Laksa Johor macam aku kurang minat,tapi laksa ni ada dua tau lagi satu laksa yang Laksa Johor macam aku kurang minat,3.2279086112976074
ah laksa laksa dia dia punya mi tu dia pakai spaghetti punya,ah laksa laksa dia dia punya mi tu dia pakai spaghetti punya,2.603243827819824
lepas tu dia punya kuah lebih [UNK] macam lebih pekat lah,lepas tu dia punya kuah lebih ke macam lebih pekat lah,2.5124263763427734
em,hm,0.4442441463470459
tak lah banyak sangat cuma dia punya beza mi dengan kuah je,tak lah banyak sangat cuma dia punya beza mi dengan kuah je,1.8677191734313965
kuah laksa Laksa Penang,kuah laksa Laksa Penang,1.392594575881958
dia macam cair-cair sikit kalau kuah Laksa Johor dia pekat,dia macam cair-cair sikit kalau kuah Laksa Johor dia pekat,2.6358914375305176
lepas tu mi dia orang kan lain-lain mi dia orang kalau Laksa Penang pakai ah,lepas tu mi dia orang kan lain-lain mi dia orang kalau Laksa Penang pakai ah,2.815437078475952
tepung beras kalau Laksa Johor pakai spaghetti,tepung beras kalau Laksa Johor pakai spaghetti,2.3064064979553223
sama je dia pakai telur ah cili,sama je dia pakai telur ah cili,1.8944666385650635
lepas tu pakai timun,lepas tu pakai timun,1.0752718448638916
lepas tu letak salad-salad sikit lah,lepas tu letak salad-salad sikit lah,1.6184008121490479
[UNK] banyak betul,Niokan banyak mas oh banyak betul,1.4024193286895752
em,em,0.43845129013061523
ada,ada,0.4376335144042969
lontong lontong,lontong lontong,0.988088846206665
lontong,lontong,0.6231777667999268
ya ya ya kalau lontong kering tu,ya ya ya kalau lontong kering tu,1.3922276496887207
ah dia kita ah goreng dia lah,ah dia kita ah goreng dia lah,1.30230712890625
lain kalau lontong kering tu goreng gor-goreng dia,lain kalau lontong kering tu goreng gor-goreng dia,2.765976667404175
kalau kalau laksa yang berkuah tu dia ada kuah dia kuah dia kuah,kalau kalau laksa yang berkuah tu dia ada kuah dia kuah dia kuah,3.366434335708618
kuah lemak kot tak silap,kuah lemak kot tak silap,1.2384564876556396
lepas tu,lepas tu,0.6527237892150879
dia ada letak bahan macam-macam bahan lah dalam kuah dalam kuah dia tu,dia ada letak bahan macam-macam bahan lah dalam kuah dalam kuah dia tu,2.771218776702881
ah ada letak,ah ada letak,0.7770736217498779
em,em,0.4160804748535156
oh dia letak,oh dia letak,0.7605681419372559
serbuk kunyit kot tak silap,serbuk kunyit kot tak silap,1.4066030979156494
letak serbuk kunyit,letak serbuk kunyit,1.3305349349975586
lepas tu,lepas tu,0.8234007358551025
letak santan,letak santan,1.0470666885375977
er umh,er umh,0.9139466285705566
hm,hm,0.6082987785339355
wah,wah,0.4925816059112549
wah yang mi goreng mi goreng basah kan sedapnya,wah yang mi goreng mi goreng basah kan sedapnya,2.1862666606903076
mihun goreng,mihun goreng,0.8814280033111572
dia punya bahan-bahan dia,dia punya bahan-bahan dia,1.2845160961151123
em,hm,0.42265892028808594
oh,ah,0.42415690422058105
dia punya cara-cara nak masak dia macam mana pula,dia punya cara-cara nak masak dia macam mana pula,2.0203120708465576
ah,ah,0.42850494384765625
dia punya,dia punya,0.6514379978179932
cara-cara hidang dia macam gitu je lah,cara-cara hidang dia macam gitu je lah,1.7393293380737305
eh,eh,0.5671646595001221
um,hm,0.5607671737670898
ah,ah,0.5651805400848389
sedapnya,sedapnya,0.9316396713256836
lepas tu contoh makanan lain,lepas tu contoh makanan lain,1.459193468093872
ah,ah,0.4390385150909424
rendang,rendang,0.5385739803314209
ren,and,0.4276559352874756
dia bukan makan rendang tu time Hari Raya je ke,dia bukan makan rendang tu time Hari Raya je ke,1.7645995616912842
em lepas tu and then,em lepas tu and then,1.0007305145263672
hm,hm,0.4328434467315674
lepas tu makanan-makanan lain yang kau suggest kan,lepas tu makanan-makanan lain yang kau suggest kan,1.7439448833465576
mi kari,mi kari,0.6477622985839844
mi kari tu macam mana,mi kari tu macam mana,0.9963259696960449
yang spaghetti,yang spaghetti,0.5460891723632812
bukan,bukan,0.5405230522155762
bukan yang mi kuning biasa ke,bukan yang mi kuning biasa ke,1.6807677745819092
lagi sedap,lagi sedap,1.0695078372955322
kenapa rasa dia lain ke,kenapa rasa dia lain ke,1.433488368988037
oh,oh,0.4888956546783447
so makanan lain yang aku nak rasa,so makanan lain yang aku nak rasa,1.2108099460601807
aku nak makan,aku nak makan,0.6491856575012207
ah,ah,0.41741180419921875
nasi ah bukan nasi,nasi ah bukan nasi,0.9619491100311279
em ayam masak merah,em ayam masak merah,1.0906927585601807
sedap sedap sangat,sedap sedap sangat,0.8614661693572998
ah ah tu,ah ah tu,0.6173453330993652
[UNK] aku macam kalau time hari raya,er se- aku macam kalau time hari raya,1.944101095199585
aku selalu makan,aku selalu makan,0.8008193969726562
tu je ayam masak merah je,tu je ayam masak merah je,1.3816859722137451
boleh,boleh,0.6929404735565186
makan dengan nasi impit pun sedap juga makan dengan nasi pun sedap juga,makan dengan nasi impit pun sedap juga makan dengan nasi pun sedap juga,3.3863582611083984
yang ketupat punya sedap,yang ketupat punya sedap,1.1150877475738525
em makanan sekejap eh aku fikir,em makanan sekejap eh aku fikir,1.5037481784820557
ah apa kan,ah apa kan,0.6490626335144043
luar negara,luar negara,0.7306509017944336
hm,hm,0.40284180641174316
ramai lah ramen,ramai lah ramen,0.734443187713623
ha,ah,0.40930795669555664
aku suka ramen yang samyang tu,aku suka ramen yang samyang tu,1.0971143245697021
yang original punya yang pedas,yang original punya yang pedas,0.9517533779144287
em kalau aku suka pedas pedas tak suka yang bercheese,em kalau aku suka pedas pedas tak suka yang bercheese,1.8723042011260986
cheese kalau aku makan cheese,cheese kalau aku makan cheese,1.2239153385162354
pening kepala,pening kepala,0.97367262840271
sushi,sushi,0.7795002460479736
kenapa,kenapa,0.7839038372039795
ah lepas tu,ah lepas tu,0.8577179908752441
ah,ah,0.4247908592224121
